Date;SO2;NO2;O3;CO;PM10;PM2.5;Station code;Address;Latitude;Longitude
2017-04-02;0.004;0.035;0.034;0.588;42.833;32.542;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-03;0.006;0.052;0.034;0.717;73.75;56.417;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-04;0.008;0.056;0.033;1.071;64.875;49.458;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-05;0.006;0.059;0.018;0.696;54.917;35.958;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-06;0.003;0.031;0.025;0.479;23.792;15.708;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-07;0.003;0.038;0.023;0.558;35.5;24.417;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-08;0.004;0.044;0.021;0.667;57.333;42.917;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-09;0.003;0.024;0.032;0.533;36.833;25.292;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-10;0.003;0.033;0.033;0.479;24.0;14.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-11;0.004;0.033;0.036;0.517;46.833;22.292;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-12;0.009;0.018;0.039;0.925;63.792;28.333;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-13;0.005;0.035;0.037;0.55;62.875;26.583;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-14;0.005;0.035;0.044;0.542;50.958;22.5;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-15;0.006;0.036;0.046;0.6;61.167;31.708;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-16;0.006;0.047;0.032;0.704;56.375;33.042;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-17;0.004;0.047;0.025;0.683;40.167;24.333;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-18;0.003;0.038;0.023;0.567;37.625;20.792;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-19;0.003;0.023;0.033;0.421;67.5;12.5;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-20;0.004;0.038;0.031;0.521;69.667;19.375;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-21;0.004;0.045;0.028;0.608;60.75;21.208;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-22;0.004;0.035;0.031;0.567;53.417;23.458;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-23;0.005;0.034;0.043;0.538;45.833;22.875;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-24;0.004;0.041;0.036;0.546;39.208;17.208;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-25;0.005;0.035;0.047;0.517;54.625;28.708;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-26;0.003;0.019;0.042;0.425;37.75;15.25;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-27;0.004;0.024;0.04;0.475;38.208;11.625;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-28;0.007;0.036;0.036;0.667;57.208;24.292;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-04-29;0.006;0.037;0.04;0.638;60.0;28.958;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
